task,utilization,period,criticality,assigned core,core utilization
Task-74,0.504449555443335,50,low,16,0.504449555443335
Task-70,0.4717431697253227,200,low,15,0.4717431697253227
Task-71,0.44323302912066165,200,low,14,0.44323302912066165
Task-80,0.4209127921229159,25,low,13,0.4209127921229159
Task-51,0.32727351966957574,100,low,13,0.7481863117924916
Task-55,0.2933237662386361,1000,low,14,0.7365567953592977
Task-53,0.25580276996882123,1000,low,15,0.7275459396941439
Task-81,0.23572260835236825,400,low,16,0.7401721637957033
Task-50,0.22464377788219458,20,low,12,0.22464377788219458
Task-58,0.20450447426115925,1000,low,12,0.42914825214335384
Task-82,0.19134914636978406,25,low,12,0.6204973985131379
Task-65,0.19041826901083603,500,low,11,0.19041826901083603
Task-79,0.18600122887407267,20,low,11,0.3764194978849087
Task-23,0.18422168428662053,10,high,11,0.5606411821715293
Task-23_copy-1,0.18422168428662053,10,high,11,0.7448628664581498
Task-23_copy-2,0.18422168428662053,10,high,10,0.18422168428662053
Task-88,0.17453524722184832,1000,low,10,0.3587569315084689
Task-87,0.1694790068255153,500,low,10,0.5282359383339842
Task-72,0.16330009436744142,20,low,10,0.6915360327014256
Task-96,0.16119624752192802,25,low,9,0.16119624752192802
Task-75,0.15901300758613823,100,low,9,0.32020925510806625
Task-54,0.15867064851292234,400,low,9,0.4788799036209886
Task-59,0.15215124745844122,25,low,9,0.6310311510794298
Task-86,0.13966949967527786,20,low,8,0.13966949967527786
Task-26,0.13245681575034793,20,high,8,0.2721263154256258
Task-26_copy-1,0.13245681575034793,20,high,8,0.4045831311759738
Task-26_copy-2,0.13245681575034793,20,high,8,0.5370399469263217
Task-66,0.12855157748590518,10,low,12,0.7490489759990431
Task-95,0.11473845204448446,400,low,9,0.7457696031239143
Task-22,0.11001843656313308,400,high,8,0.6470583834894548
Task-22_copy-1,0.11001843656313308,400,high,7,0.11001843656313308
Task-22_copy-2,0.11001843656313308,400,high,7,0.22003687312626616
Task-94,0.10595602608693883,400,low,7,0.32599289921320496
Task-97,0.10489746174535684,500,low,7,0.4308903609585618
Task-57,0.10321507404777197,25,low,7,0.5341054350063338
Task-68,0.10228642344897843,400,low,8,0.7493448069384332
Task-92,0.09025909205413007,200,low,7,0.6243645270604639
Task-77,0.0869445424018429,50,low,7,0.7113090694623068
Task-89,0.08160159915865972,200,low,6,0.08160159915865972
Task-85,0.07974464805360504,10,low,6,0.16134624721226476
Task-61,0.07669789572361374,50,low,6,0.2380441429358785
Task-35,0.07515703527910429,20,high,6,0.3132011782149828
Task-35_copy-1,0.07515703527910429,20,high,6,0.38835821349408706
Task-35_copy-2,0.07515703527910429,20,high,6,0.46351524877319134
Task-76,0.06910424309549112,200,low,6,0.5326194918686824
Task-18,0.06896472129765978,1000,high,6,0.6015842131663421
Task-18_copy-1,0.06896472129765978,1000,high,6,0.6705489344640019
Task-18_copy-2,0.06896472129765978,1000,high,6,0.7395136557616616
Task-83,0.06769132597218408,1000,low,5,0.06769132597218408
Task-84,0.06319359324786267,50,low,5,0.13088491922004675
Task-34,0.06038757859492586,200,high,5,0.1912724978149726
Task-34_copy-1,0.06038757859492586,200,high,5,0.25166007640989846
Task-34_copy-2,0.06038757859492586,200,high,5,0.31204765500482434
Task-27,0.060250664136787556,50,high,5,0.3722983191416119
Task-27_copy-1,0.060250664136787556,50,high,5,0.4325489832783994
Task-27_copy-2,0.060250664136787556,50,high,5,0.49279964741518695
Task-9,0.052981719072382916,200,high,10,0.7445177517738085
Task-9_copy-1,0.052981719072382916,200,high,5,0.5457813664875699
Task-9_copy-2,0.052981719072382916,200,high,5,0.5987630855599528
Task-33,0.05285333179860056,1000,high,5,0.6516164173585534
Task-33_copy-1,0.05285333179860056,1000,high,5,0.7044697491571539
Task-33_copy-2,0.05285333179860056,1000,high,4,0.05285333179860056
Task-98,0.05063676863749843,50,low,4,0.10349010043609899
Task-78,0.049717438549090165,100,low,4,0.15320753898518916
Task-73,0.04711839024919451,400,low,4,0.20032592923438367
Task-6,0.0454458839147757,10,high,5,0.7499156330719295
Task-6_copy-1,0.0454458839147757,10,high,4,0.24577181314915936
Task-6_copy-2,0.0454458839147757,10,high,4,0.2912176970639351
Task-67,0.04383834293142641,50,low,4,0.3350560399953615
Task-16,0.04331420862866923,500,high,4,0.37837024862403074
