task,utilization,period,criticality,assigned core,core utilization
Task-99,0.15731174198344167,20,low,8,0.15731174198344167
Task-80,0.1262548595155938,25,low,8,0.28356660149903545
Task-63,0.10959628690206324,50,low,8,0.3931628884010987
Task-56,0.09990959711730896,50,low,8,0.49307248551840765
Task-58,0.09916416951896734,25,low,7,0.09916416951896734
Task-71,0.09456071787394715,10,low,7,0.1937248873929145
Task-59,0.07885087580579264,100,low,7,0.27257576319870713
Task-83,0.06982261168885162,50,low,7,0.34239837488755875
Task-89,0.0674450764882275,200,low,7,0.40984345137578626
Task-53,0.05872395203806846,10,low,7,0.4685674034138547
Task-98,0.05809830015544343,1000,low,6,0.05809830015544343
Task-41,0.05801414781958517,25,high,6,0.1161124479750286
Task-41_copy-1,0.05801414781958517,25,high,6,0.17412659579461376
Task-41_copy-2,0.05801414781958517,25,high,6,0.23214074361419892
Task-96,0.057984826185290717,10,low,6,0.29012556979948967
Task-50,0.0563567312957407,10,low,6,0.34648230109523037
Task-54,0.05185386333950026,1000,low,6,0.39833616443473063
Task-2,0.05063914293063654,100,high,6,0.44897530736536717
Task-2_copy-1,0.05063914293063654,100,high,6,0.4996144502960037
Task-2_copy-2,0.05063914293063654,100,high,5,0.05063914293063654
Task-79,0.05054986804496675,25,low,5,0.10118901097560329
Task-81,0.04461176628676944,10,low,5,0.14580077726237273
Task-43,0.04161578031375157,500,high,5,0.1874165575761243
Task-43_copy-1,0.04161578031375157,500,high,5,0.22903233788987587
Task-43_copy-2,0.04161578031375157,500,high,5,0.27064811820362744
Task-60,0.04084029549336066,10,low,5,0.3114884136969881
Task-65,0.040602328424857115,10,low,5,0.3520907421218452
Task-90,0.03988645828064241,20,low,5,0.3919772004024876
Task-57,0.03841469547687981,10,low,5,0.43039189587936744
Task-20,0.03661482986457335,20,high,5,0.4670067257439408
Task-20_copy-1,0.03661482986457335,20,high,4,0.03661482986457335
Task-20_copy-2,0.03661482986457335,20,high,4,0.0732296597291467
Task-93,0.03559320441666819,20,low,4,0.1088228641458149
Task-21,0.034783317076602906,50,high,4,0.1436061812224178
Task-21_copy-1,0.034783317076602906,50,high,4,0.1783894982990207
Task-21_copy-2,0.034783317076602906,50,high,4,0.2131728153756236
Task-49,0.03342532560290149,1000,high,4,0.2465981409785251
Task-49_copy-1,0.03342532560290149,1000,high,4,0.28002346658142657
Task-49_copy-2,0.03342532560290149,1000,high,4,0.3134487921843281
Task-55,0.03235437810224018,400,low,5,0.499361103846181
Task-92,0.03222999148952843,10,low,4,0.3456787836738565
Task-84,0.03090128993151897,400,low,7,0.4994686933453737
Task-17,0.03015660935336258,50,high,4,0.3758353930272191
Task-17_copy-1,0.03015660935336258,50,high,4,0.40599200238058164
Task-17_copy-2,0.03015660935336258,50,high,4,0.4361486117339442
Task-76,0.02999445830107783,50,low,4,0.46614307003502203
Task-51,0.029896123098064997,20,low,4,0.49603919313308703
Task-69,0.02906639796946231,10,low,3,0.02906639796946231
Task-67,0.027995855941357783,50,low,3,0.05706225391082009
Task-61,0.027620310772768164,100,low,3,0.08468256468358826
Task-87,0.026925726897030156,10,low,3,0.11160829158061841
Task-77,0.026408357956827833,400,low,3,0.13801664953744625
Task-52,0.023814381835417064,20,low,3,0.1618310313728633
Task-8,0.02367168201846252,500,high,3,0.18550271339132582
Task-8_copy-1,0.02367168201846252,500,high,3,0.20917439540978833
Task-8_copy-2,0.02367168201846252,500,high,3,0.23284607742825084
Task-7,0.023515278013597356,100,high,3,0.2563613554418482
Task-7_copy-1,0.023515278013597356,100,high,3,0.27987663345544556
Task-7_copy-2,0.023515278013597356,100,high,3,0.30339191146904293
Task-10,0.023283144464460264,1000,high,3,0.3266750559335032
Task-10_copy-1,0.023283144464460264,1000,high,3,0.3499582003979635
Task-10_copy-2,0.023283144464460264,1000,high,3,0.3732413448624238
Task-91,0.02099390698341158,10,low,3,0.39423525184583535
Task-3,0.0194733217461646,200,high,3,0.413708573592
Task-3_copy-1,0.0194733217461646,200,high,3,0.4331818953381646
Task-3_copy-2,0.0194733217461646,200,high,3,0.4526552170843292
Task-62,0.019050368501479342,20,low,3,0.47170558558580855
Task-13,0.01854379486075149,500,high,3,0.49024938044656
Task-13_copy-1,0.01854379486075149,500,high,2,0.01854379486075149
Task-13_copy-2,0.01854379486075149,500,high,2,0.03708758972150298
Task-68,0.01793450777599115,100,low,2,0.05502209749749413
Task-33,0.01749056288699702,500,high,2,0.07251266038449114
Task-33_copy-1,0.01749056288699702,500,high,2,0.09000322327148816
Task-33_copy-2,0.01749056288699702,500,high,2,0.10749378615848518
Task-72,0.01695032557510545,20,low,2,0.12444411173359063
Task-1,0.01689895450676963,20,high,2,0.14134306624036025
Task-1_copy-1,0.01689895450676963,20,high,2,0.15824202074712987
Task-1_copy-2,0.01689895450676963,20,high,2,0.1751409752538995
Task-48,0.016862672180385434,25,high,2,0.1920036474342849
Task-48_copy-1,0.016862672180385434,25,high,2,0.20886631961467034
Task-48_copy-2,0.016862672180385434,25,high,2,0.22572899179505576
Task-73,0.016662787980305738,200,low,2,0.2423917797753615
Task-11,0.016311144933721582,25,high,2,0.25870292470908307
Task-11_copy-1,0.016311144933721582,25,high,2,0.27501406964280467
Task-11_copy-2,0.016311144933721582,25,high,2,0.29132521457652627
Task-26,0.01613078053700301,500,high,2,0.3074559951135293
Task-26_copy-1,0.01613078053700301,500,high,2,0.3235867756505323
Task-26_copy-2,0.01613078053700301,500,high,2,0.3397175561875353
Task-6,0.016092047357200823,100,high,2,0.3558096035447361
Task-6_copy-1,0.016092047357200823,100,high,2,0.37190165090193694
Task-6_copy-2,0.016092047357200823,100,high,2,0.38799369825913776
Task-30,0.015570326619066174,400,high,2,0.4035640248782039
Task-30_copy-1,0.015570326619066174,400,high,2,0.4191343514972701
Task-30_copy-2,0.015570326619066174,400,high,2,0.43470467811633623
Task-75,0.014951988357086998,500,low,2,0.4496566664734232
Task-25,0.014671687069723363,500,high,2,0.4643283535431466
Task-25_copy-1,0.014671687069723363,500,high,2,0.47900004061287
Task-25_copy-2,0.014671687069723363,500,high,2,0.4936717276825934
Task-47,0.01393188002759486,500,high,1,0.01393188002759486
Task-47_copy-1,0.01393188002759486,500,high,1,0.02786376005518972
Task-47_copy-2,0.01393188002759486,500,high,1,0.04179564008278458
Task-36,0.010508835250607973,400,high,1,0.05230447533339255
Task-36_copy-1,0.010508835250607973,400,high,1,0.06281331058400053
Task-36_copy-2,0.010508835250607973,400,high,1,0.0733221458346085
Task-16,0.010497391688097343,20,high,1,0.08381953752270584
Task-16_copy-1,0.010497391688097343,20,high,1,0.09431692921080317
Task-16_copy-2,0.010497391688097343,20,high,1,0.10481432089890051
Task-66,0.00996433526754048,100,low,1,0.11477865616644099
Task-28,0.009873099381796665,10,high,1,0.12465175554823765
Task-28_copy-1,0.009873099381796665,10,high,1,0.13452485493003433
Task-28_copy-2,0.009873099381796665,10,high,1,0.144397954311831
Task-64,0.008582090058453007,50,low,3,0.49883147050501303
Task-74,0.008258203967304256,25,low,1,0.15265615827913526
Task-38,0.008105864267822227,200,high,1,0.16076202254695748
Task-38_copy-1,0.008105864267822227,200,high,1,0.1688678868147797
Task-38_copy-2,0.008105864267822227,200,high,1,0.17697375108260194
Task-82,0.007883543146919525,50,low,1,0.18485729422952146
Task-85,0.007859110622847498,200,low,1,0.19271640485236896
Task-14,0.007634082881141128,10,high,1,0.20035048773351008
Task-14_copy-1,0.007634082881141128,10,high,1,0.2079845706146512
