task,utilization,period,criticality,assigned core,core utilization
Task-47,0.21526402215907112,50,low,8,0.21526402215907112
Task-43,0.17895780677466155,25,low,7,0.17895780677466155
Task-38,0.16746822297289266,50,low,6,0.16746822297289266
Task-33,0.15850955292718982,20,low,5,0.15850955292718982
Task-27,0.1531273229302097,10,low,4,0.1531273229302097
Task-9,0.14109100965806562,10,high,3,0.14109100965806562
Task-9_copy-1,0.14109100965806562,10,high,2,0.14109100965806562
Task-9_copy-2,0.14109100965806562,10,high,1,0.14109100965806562
Task-49,0.13441478688111774,10,low,1,0.2755057965391834
Task-36,0.12624731867801842,50,low,2,0.26733832833608406
Task-40,0.08699427846862018,10,low,3,0.2280852881266858
Task-42,0.0864431973828893,25,low,4,0.239570520313099
Task-19,0.08189118824941843,25,high,5,0.24040074117660826
Task-19_copy-1,0.08189118824941843,25,high,6,0.2493594112223111
Task-19_copy-2,0.08189118824941843,25,high,7,0.26084899502408
Task-45,0.07689117789542771,50,low,8,0.2921552000544988
Task-30,0.07035355283047418,10,low,3,0.29843884095716
Task-24,0.06452458606133764,10,high,4,0.30409510637443665
Task-24_copy-1,0.06452458606133764,10,high,5,0.3049253272379459
Task-24_copy-2,0.06452458606133764,10,high,6,0.31388399728364874
Task-17,0.06440806899073796,20,high,7,0.32525706401481796
Task-17_copy-1,0.06440806899073796,20,high,2,0.33174639732682204
Task-17_copy-2,0.06440806899073796,20,high,1,0.33991386552992137
Task-0,0.06255428655505657,20,high,8,0.35470948660955537
Task-0_copy-1,0.06255428655505657,20,high,3,0.36099312751221657
Task-0_copy-2,0.06255428655505657,20,high,4,0.3666493929294932
Task-35,0.05889911469572007,25,low,5,0.363824441933666
Task-39,0.056460804936959375,25,low,6,0.3703448022206081
Task-48,0.051307883855197106,20,low,7,0.37656494787001504
Task-37,0.04132140141091467,20,low,2,0.3730677987377367
Task-5,0.04039157121336364,25,high,1,0.380305436743285
Task-5_copy-1,0.04039157121336364,25,high,8,0.395101057822919
Task-5_copy-2,0.04039157121336364,25,high,3,0.4013846987255802
Task-2,0.036416980507068875,20,high,5,0.40024142244073485
Task-2_copy-1,0.036416980507068875,20,high,4,0.4030663734365621
Task-2_copy-2,0.036416980507068875,20,high,6,0.406761782727677
Task-12,0.03539195485259997,10,high,2,0.4084597535903367
Task-12_copy-1,0.03539195485259997,10,high,7,0.41195690272261504
Task-12_copy-2,0.03539195485259997,10,high,1,0.415697391595885
Task-32,0.034300486046936474,20,low,8,0.42940154386985546
Task-25,0.032928061968553246,50,low,5,0.4331694844092881
Task-3,0.027809666551523577,50,high,3,0.42919436527710375
Task-3_copy-1,0.027809666551523577,50,high,4,0.43087603998808566
Task-3_copy-2,0.027809666551523577,50,high,6,0.43457144927920055
Task-26,0.027487039205525532,20,low,2,0.43594679279586224
Task-21,0.025913486193487767,20,high,7,0.4378703889161028
Task-21_copy-1,0.025913486193487767,20,high,1,0.44161087778937275
Task-21_copy-2,0.025913486193487767,20,high,3,0.4551078514705915
Task-7,0.025500303886862568,25,high,8,0.45490184775671805
Task-7_copy-1,0.025500303886862568,25,high,4,0.45637634387494824
Task-7_copy-2,0.025500303886862568,25,high,5,0.4586697882961507
Task-46,0.02334748841319001,25,low,6,0.45791893769239056
Task-16,0.021743795749401624,10,high,2,0.45769058854526384
Task-16_copy-1,0.021743795749401624,10,high,7,0.4596141846655044
Task-16_copy-2,0.021743795749401624,10,high,1,0.46335467353877435
Task-29,0.019142011195770747,10,low,8,0.4740438589524888
Task-13,0.014687824947310949,25,high,3,0.4697956764179025
Task-13_copy-1,0.014687824947310949,25,high,4,0.4710641688222592
Task-13_copy-2,0.014687824947310949,25,high,2,0.4723784134925748
Task-22,0.013592928503667038,25,high,6,0.4715118661960576
Task-22_copy-1,0.013592928503667038,25,high,5,0.47226271679981774
Task-22_copy-2,0.013592928503667038,25,high,7,0.47320711316917147
Task-34,0.013534492828471967,50,low,1,0.4768891663672463
Task-6,0.012038977213316038,25,high,3,0.4818346536312185
Task-6_copy-1,0.012038977213316038,25,high,4,0.48310314603557525
Task-6_copy-2,0.012038977213316038,25,high,6,0.48355084340937365
Task-28,0.011918973848962455,10,low,5,0.4841816906487802
Task-10,0.011721352733007487,50,high,2,0.4840997662255823
Task-10_copy-1,0.011721352733007487,50,high,7,0.484928465902179
Task-10_copy-2,0.011721352733007487,50,high,8,0.4857652116854963
Task-1,0.010213905692587991,25,high,1,0.48710307205983433
Task-1_copy-1,0.010213905692587991,25,high,3,0.49204855932380653
Task-1_copy-2,0.010213905692587991,25,high,4,0.49331705172816326
Task-20,0.008582531643941849,25,high,6,0.4921333750533155
Task-20_copy-1,0.008582531643941849,25,high,2,0.49268229786952417
Task-20_copy-2,0.008582531643941849,25,high,5,0.49276422229272204
Task-31,0.007758719643779388,10,low,7,0.49268718554595836
Task-4,0.005957442851417749,10,high,8,0.49172265453691405
Task-4_copy-1,0.005957442851417749,10,high,1,0.4930605149112521
Task-4_copy-2,0.005957442851417749,10,high,8,0.4976800973883318
Task-41,0.0053362111035252235,10,low,3,0.49738477042733176
Task-23,0.004778291323664548,20,high,6,0.49691166637698003
Task-23_copy-1,0.004778291323664548,20,high,2,0.4974605891931887
Task-23_copy-2,0.004778291323664548,20,high,7,0.4974654768696229
Task-11,0.0034199602257092288,25,high,5,0.49618418251843127
Task-11_copy-1,0.0034199602257092288,25,high,1,0.4964804751369613
Task-11_copy-2,0.0034199602257092288,25,high,4,0.4967370119538725
