core,task,job,duration
1,Task-9_copy-1,"Task-9_copy-1, Job_0","{0, 7}"
1,Task-7,"Task-7, Job_0","{7, 17}"
1,Task-4,"Task-4, Job_0","{17, 18}"
1,Task-4_copy-2,"Task-4_copy-2, Job_0","{18, 19}"
1,Task-5,"Task-5, Job_0","{19, 72}"
1,Task-3_copy-2,"Task-3_copy-2, Job_0","{72, 78}"
1,Task-12,"Task-12, Job_0","{78, 107}"
1,Task-9_copy-1,"Task-9_copy-1, Job_1","{200, 207}"
1,Task-9_copy-1,"Task-9_copy-1, Job_2","{400, 407}"
1,Task-7,"Task-7, Job_1","{407, 417}"
1,Task-4,"Task-4, Job_1","{417, 418}"
1,Task-4_copy-2,"Task-4_copy-2, Job_1","{418, 419}"
1,Task-5,"Task-5, Job_1","{500, 553}"
1,Task-9_copy-1,"Task-9_copy-1, Job_3","{600, 607}"
1,Task-9_copy-1,"Task-9_copy-1, Job_4","{800, 807}"
1,Task-7,"Task-7, Job_2","{807, 817}"
1,Task-4,"Task-4, Job_2","{817, 818}"
1,Task-4_copy-2,"Task-4_copy-2, Job_2","{818, 819}"
1,Task-9_copy-1,"Task-9_copy-1, Job_5","{1000, 1007}"
1,Task-5,"Task-5, Job_2","{1007, 1060}"
1,Task-3_copy-2,"Task-3_copy-2, Job_1","{1060, 1066}"
1,Task-12,"Task-12, Job_1","{1066, 1095}"
1,Task-9_copy-1,"Task-9_copy-1, Job_6","{1200, 1207}"
1,Task-7,"Task-7, Job_3","{1207, 1217}"
1,Task-4,"Task-4, Job_3","{1217, 1218}"
1,Task-4_copy-2,"Task-4_copy-2, Job_3","{1218, 1219}"
1,Task-9_copy-1,"Task-9_copy-1, Job_7","{1400, 1407}"
1,Task-5,"Task-5, Job_3","{1500, 1553}"
1,Task-9_copy-1,"Task-9_copy-1, Job_8","{1600, 1607}"
1,Task-7,"Task-7, Job_4","{1607, 1617}"
1,Task-4,"Task-4, Job_4","{1617, 1618}"
1,Task-4_copy-2,"Task-4_copy-2, Job_4","{1618, 1619}"
1,Task-9_copy-1,"Task-9_copy-1, Job_9","{1800, 1807}"
2,Task-9,"Task-9, Job_0","{0, 7}"
2,Task-7_copy-1,"Task-7_copy-1, Job_0","{7, 17}"
2,Task-4_copy-1,"Task-4_copy-1, Job_0","{17, 18}"
2,Task-5_copy-1,"Task-5_copy-1, Job_0","{18, 71}"
2,Task-2_copy-1,"Task-2_copy-1, Job_0","{71, 76}"
2,Task-19,"Task-19, Job_0","{76, 107}"
2,Task-9,"Task-9, Job_1","{200, 207}"
2,Task-9,"Task-9, Job_2","{400, 407}"
2,Task-7_copy-1,"Task-7_copy-1, Job_1","{407, 417}"
2,Task-4_copy-1,"Task-4_copy-1, Job_1","{417, 418}"
2,Task-5_copy-1,"Task-5_copy-1, Job_1","{500, 553}"
2,Task-9,"Task-9, Job_3","{600, 607}"
2,Task-9,"Task-9, Job_4","{800, 807}"
2,Task-7_copy-1,"Task-7_copy-1, Job_2","{807, 817}"
2,Task-4_copy-1,"Task-4_copy-1, Job_2","{817, 818}"
2,Task-9,"Task-9, Job_5","{1000, 1007}"
2,Task-5_copy-1,"Task-5_copy-1, Job_2","{1007, 1060}"
2,Task-2_copy-1,"Task-2_copy-1, Job_1","{1060, 1065}"
2,Task-19,"Task-19, Job_1","{1065, 1096}"
2,Task-9,"Task-9, Job_6","{1200, 1207}"
2,Task-7_copy-1,"Task-7_copy-1, Job_3","{1207, 1217}"
2,Task-4_copy-1,"Task-4_copy-1, Job_3","{1217, 1218}"
2,Task-9,"Task-9, Job_7","{1400, 1407}"
2,Task-5_copy-1,"Task-5_copy-1, Job_3","{1500, 1553}"
2,Task-9,"Task-9, Job_8","{1600, 1607}"
2,Task-7_copy-1,"Task-7_copy-1, Job_4","{1607, 1617}"
2,Task-4_copy-1,"Task-4_copy-1, Job_4","{1617, 1618}"
2,Task-9,"Task-9, Job_9","{1800, 1807}"
3,Task-7_copy-2,"Task-7_copy-2, Job_0","{0, 10}"
3,Task-6,"Task-6, Job_0","{10, 11}"
3,Task-0_copy-2,"Task-0_copy-2, Job_0","{11, 12}"
3,Task-5_copy-2,"Task-5_copy-2, Job_0","{12, 65}"
3,Task-2,"Task-2, Job_0","{65, 70}"
3,Task-22,"Task-22, Job_0","{70, 165}"
3,Task-7_copy-2,"Task-7_copy-2, Job_1","{400, 410}"
3,Task-6,"Task-6, Job_1","{410, 411}"
3,Task-0_copy-2,"Task-0_copy-2, Job_1","{411, 412}"
3,Task-5_copy-2,"Task-5_copy-2, Job_1","{500, 553}"
3,Task-7_copy-2,"Task-7_copy-2, Job_2","{800, 810}"
3,Task-6,"Task-6, Job_2","{810, 811}"
3,Task-0_copy-2,"Task-0_copy-2, Job_2","{811, 812}"
3,Task-5_copy-2,"Task-5_copy-2, Job_2","{1000, 1053}"
3,Task-2,"Task-2, Job_1","{1053, 1058}"
3,Task-22,"Task-22, Job_1","{1058, 1153}"
3,Task-7_copy-2,"Task-7_copy-2, Job_3","{1200, 1210}"
3,Task-6,"Task-6, Job_3","{1210, 1211}"
3,Task-0_copy-2,"Task-0_copy-2, Job_3","{1211, 1212}"
